1,별이 빛나는 고양이 마을 4 (별고양이와 푸른 바다),히요,13500,다산어린이
2,별이 빛나는 고양이 마을 (고양이와 스프),히요,12600,다산어린이
3,고양이 해결사 깜냥 8 (신나는 학교를 만들어라!),홍민정,12600,창비
4,별이 빛나는 고양이 마을 2 (아기 고양이를 부탁해!),히요,13500,다산어린이
5,별이 빛나는 고양이 마을 3 (마음이 자라는 계절),히요,13500,다산어린이
6,도서관 고양이,최지혜,15300,한울림어린이
7,꽁꽁 얼어붙은 한강 위로 고양이가 걸어갑니다 (김주하 앵커가 단단한 목소리로 전하는 위로),김주하,18000,매일경제신문사
8,고양이 왕,제레미 모로,16200,미래엔아이세움
9,로원의 살랑살랑 고양이와 소녀의 하루 컬러링북,로원,15300,그라데이션
10,고양이,Ma Luisa Palmero,54000,범문에듀케이션
11,나는 고양이로소이다,나쓰메 소세키,16200,잇북
12,너는 (  ) 고양이,이혜인,13500,한솔수북
13,고양이 (공간지각력/상상창의력/주의집중력/자존자신감/소근육운동),학은미디어 편집부,3500,학은미디어
14,마지막은 집에서 (고양이 만화),나가이 야스노리,15300,타래
15,모두의 고양이,브렌던 웬젤,14850,비룡소
16,고양이,꾸러기 편집부,0,꾸러기
17,배고픈 고양이,김유미,14400,계수나무
18,5시 고양이,이향안,11700,아이음북스
19,고양이 사전 (칠렐레달커피 만화),달커피,18000,우다다
20,가라와라 와라가라 고양이 귀신 (고양이),홍영미,6750,느림보
21,수면의 고양이 (이근영 연작소설),이근영,15300,북스 오와우
22,꽃속에 앉은 고양이,김서윤,8439,부크크(bookk)
23,성교육 스티커북 Part A : 신체 이해와 존중 세트 - 전2권 (어떻게 달라요? + 우리 몸은 소중해),㈜고양이뿔,0,고양이뿔
24,"퇴근 후, 굿즈만들기 (내가 만든 굿즈로 만드는 나만의 소품숍)",고양이빵집,14220,리얼북스
25,"퇴근 후, 굿즈만들기 삼색이 노트 세트 (내가 만든 굿즈로 만드는 나만의 소품숍)",고양이빵집,18900,리얼북스
26,스타일링 캣: 고양이 미용 디자인북 (고양이 미용 디자인북),신서연,29700,나비의활주로
27,"최고다! 과학 호기심 딱지 세트 (1~4권,전4권)",방콕고양이,43200,EBS BOOKS
28,손바닥 고양이 2,타카노 히사,8100,미우(대원씨아이)
29,아기 고양이 토토,구라하시 레이,14400,창비교육
30,철학 고양이 소피 (동화로 읽는 철학),차이즈친,17100,한울림어린이
